, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
49,61060,1881065,8,2,11607,26,5840,0,1450.875,2063.768774,20,6,13.0,9.899494937,6184.262638,5.316137401,209007.2222,626693.9372,1880191,1,1881065,268723.5714,710590.3718,1880191,1,49,49.0,0.0,49,49,0,0,0,0,184,40,4.252909921,1.06322748,0,5840,1057.545455,1853.437529,3435230.673,0,0,0,1,0,0,0,0,0,1163.3,1450.875,13.0,184,0,0,0,0,0,0,8,11607,2,26,8192,256,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
86,80,1263967,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,23.73479687,3.955799479,315991.75,631318.3388,1262969,1,1263967,315991.75,631318.3388,1262969,1,0,0.0,0.0,0,0,0,0,0,0,100,0,3.955799479,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
54,80,1248991,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,24.01938845,4.003231408,312247.75,621828.7392,1244989,3,1248991,312247.75,621828.7392,1244989,3,0,0.0,0.0,0,0,0,0,0,0,100,0,4.003231408,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
78,80,29423,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,395370.9683,237.9091187,4903.833333,11662.85516,28707,13,625,312.5,372.6452737,576,49,29390,9796.666667,16380.12339,28707,13,0,0,0,0,72,92,101.9610509,135.9480678,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
64,80,574178,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,20260.26772,15.67458175,71772.25,202372.0773,572617,3,1125,562.5,726.1986643,1076,49,574059,114811.8,255921.345,572617,3,0,0,0,0,72,132,5.224860583,10.44972117,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
41,53,195,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,861538.4615,20512.82051,65.0,29.44486373,99,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,10256.41026,10256.41026,34,50,40.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,64,0,0,0,0,0,0,2,68,2,100,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
85,80,868722,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,13390.93519,9.208929899,124103.1429,327925.8572,867769,3,705,352.5,248.1944802,528,177,868678,217169.5,433733.1188,867769,3,0,0,0,0,72,112,3.453348712,5.755581187,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
93,80,21968,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,529269.8471,364.1660597,3138.285714,7444.171718,19998,9,20074,10037.0,14181.7336,20065,9,21901,5475.25,9943.225378,20375,189,0,0,0,0,72,112,136.5622724,227.6037873,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
83,80,515013,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,22587.77934,17.47528703,64376.625,181674.619,513998,3,858,429.0,472.3473298,763,95,514961,102992.2,229759.5077,513998,3,0,0,0,0,72,132,5.825095677,11.65019135,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
61,80,1486281,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,7826.918328,6.055382529,185785.125,525173.8506,1485524,3,615,307.5,430.6280297,612,3,1486263,297252.6,664263.9639,1485524,12,0,0,0,0,72,132,2.018460843,4.036921686,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Malicious
